,Name,Country,Years active,Possible victims(Updated),Proven victims(Updated),Notes
10,Abdufatto Zamanov,Russia,2002 to 2004,0,14,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.
11,Jeong Nam-gyu,South Korea,2004 to 2006,0,14,"Kidnapped, raped and murdered people; committed suicide."
12,Amir Qayyum,Pakistan,2005,0,14,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006."
13,Jake Bird,United States,1930s to 1947,44,13,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others. Executed by hanging in 1949.
14,Belle Gunness,United States,1900 to 1908,40,13,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own. Ultimate fate unknown."
15,Cleveland Torso Murderer,United States,1934 to 1938,40,13,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio."
16,Kaspars Petrovs,Latvia,2003,38,13,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13."
17,Richard Ramirez,United States,1984 to 1985,20,13,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles. Known as the ""Night Stalker"". Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row."
18,Sleepy Hollow Killer,South Africa,1990s to 2007,16,13,"Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal."
19,Peter Sutcliffe,United Kingdom,1975 to 1980,15,13,"Killed 13 women between 30 October 1975, and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he would never be released. In 2015, he was declared ""no longer mentally ill"", and transferred to a maximum security prison."
20,Francisco Antonio Laureana,Argentina,1974 to 1975,13,13,"Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police."
21,Tamara Samsonova,Russia,1995 to 2015,13,13,"Known as the ""Granny Ripper""; killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic."
22,Herbert Mullin,United States,1972 to 1973,0,13,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life."
23,Boston Strangler,United States,1962 to 1964,0,13,"Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession. Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for DNA testing, and compared to a substance found on the exhumed body of the Boston Strangler's last victim. In 2001, it was declared not to match, but in 2013 officials announced that improvements in DNA extraction technology produced viable samples from the degraded evidence. DeSalvo's body was reexhumed and found to match."
24,Lorenzo Gilyard,United States,1977 to 1993,0,13,"Known as ""The Kansas City Strangler"". Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007."
25,Joseph James DeAngelo,United States,1979 to 1986,0,13,"Top suspect in the murders committed by ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 12 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him."
26,Vladimir Storozhenko,Soviet Union,1978 to 1981,0,13,"Known as the ""Smolensky Strangler""; tortured and murdered women for sexual pleasure; four other innocent men were initially convicted for his crimes; executed 1984."
27,Vasiliy Kulik,Soviet Union,1984 to 1986,0,13,Known as the Irkutsk Monster; killed at least 13 victims from 1984 to 1986. Executed by firing squad in 1989.
28,Nikolai Dudin,"Soviet Union,Russia",1987 to 2002,0,13,"Known as the ""Grim Maniac""; killed his father in 1987, and after release, killed 12 more people while intoxicated; sentenced to life imprisonment."
29,Denis Pischikov,Russia,2002 to 2003,0,13,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment."
30,Nikolay Shubin,Russia,2004 to 2006,0,13,Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.
31,Johannes Mashiane,South Africa,1982 to 1989,0,13,"Known as ""The Beast of Atteridgeville"", he was found guilty of 13 counts of murder and 12 counts of sodomy from 1982 to 1989. Committed suicide by throwing himself under a bus while being pursued by police in 1989."
32,Mukosi Freddy Mulaudzi,South Africa,1990 to 2006,0,13,"Known as ""The Limpopo Serial Killer""; escaped convict, originally responsible for two murders, who murdered 11 more after his prison escape; given 11 life sentences."
33,Thozamile Taki,South Africa,2007,0,13,"Known as the ""Sugar cane serial killer"", he murdered 13 women. Convicted in 2010."
34,Rainbow Maniac,Brazil,2007 to 2008,0,13,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba."
35,Naceur Damergi,Tunisia,1980s to 1988,0,13,Raped and killed minors in the Nabeul region; executed by hanging in 1990.
36,Adolf Seefeldt,Germany,1908 to 1935,100,12,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total. Executed by guillotine in 1936."
37,Donald Henry Gaskins,United States,1953 to 1982,24,12,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated--one while Gaskins had been on death row. Later claimed on death row that he had murdered between 80 and 110 victims. Executed by electric chair in 1991."
38,William Suff,United States,1986 to 1992,22,12,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death."
39,Vladimir Romanov,"Soviet Union,Russia",1991 to 2005,20,12,"Known as the ""Kaliningrad Maniac""; pedophile who raped and murdered girls and young women in the Kaliningrad Oblast; committed suicide while imprisoned."
40,Maury Travis,United States,2000 to 2002,17,12,Killed prostitutes in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Committed suicide by hanging in prison.
41,Dennis Nilsen,United Kingdom,1978 to 1983,0,12,"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home. Died from surgical complications in 2018."
42,Kenneth Bianchi,United States,1977 to 1978,15,12,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life."
43,Charles Sobhraj,"Thailand,Nepal,India,Malaysia",1975 to 1976,13,12,"French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and from 2004 serving a life sentence in Nepal."
44,Abdallah al-Hubal,Yemen,1990 to 1998,0,12,"Killed seven people after a Yemeni reunion; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police."
45,Nikolai Shestakov,Soviet Union,1975,0,12,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977."
46,Anatoly Sedykh,Russia,1998 to 2003,0,12,"Raped and killed women around Lipetsk, then robbed their corpses; sentenced to life imprisonment."
47,Joseph Christopher,United States,1980 to 1981,0,12,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer."
48,"""Paraquat murders"" killer",Japan,1985,0,12,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.
49,Enriqueta Marti,Spain,c.1900 to 1912,0,12,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913."
50,Herb Baumeister,United States,1990 to 1996,25,2,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Committed suicide by shooting himself when faced with arrest.
51,John Bunting,Australia,1992 to 1999,0,11,Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.
52,Sergey Golovkin,"Soviet Union,Russia",1986 to 1992,40,11,Killed at least 11 boys in the Moscow area between 1986 and 1992. Executed by gunshot in 1996; last person executed in Russia before the death penalty was abolished.
53,Juana Barraza,Mexico,late 1990s to 2006,10,11,Female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.
54,Zhang Yongming,China,2008 to 2012,1,11,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.
55,Jack Unterweger,"Austria,United States,Czechoslovakia",1974 to 1992,15,11,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison."
56,Vaughn Greenwood,United States,1964 to 1975,13,11,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drank their blood. Sentenced to imprisonment for life."
57,Benjamin Atkins,United States,1991 to 1992,0,11,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS."
58,Nannie Doss,United States,1927 to 1954,0,11,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59."
59,Clifford Olson,Canada,1980 to 1981,0,11,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011."
60,Henri Desire Landru,France,1915 to 1919,0,11,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922."
61,West Mesa Killer,United States,2003 to 2005,0,11,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector."
62,Anthony Sowell,United States,2007 to 2009,0,11,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death."
63,Andre Crawford,United States,1993 to 1999,0,11,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.
64,Francisco Garcia Escalero,Spain,1987 to 1994,0,11,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994. Died in 2014."
65,Robledo Puch,Argentina,1971,0,11,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.
66,Adnan Colak,Turkey,1992 to 1995,0,11,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.
67,Seisaku Nakamura,Japan,1938 to 1942,0,11,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having been born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging."
68,Very Idham Henyansyah,Indonesia,2008 and earlier,0,11,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death."
69,Francisco de Assis Pereira,Brazil,1997 to 1998,0,11,"Rapist and serial killer, known as ""O Maniaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in Sao Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years."
70,Roshu Kha,Bangladesh,2008,0,11,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.
71,Gao Chengyong,China,1998 to 2002,0,11,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses. Executed in 2019."
72,Marie Alexandrine Becker,Belgium,1933 to 1936,0,11,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.
73,Ruslan Khamarov,Ukraine,2000 to 2003,0,11,"Seduced, raped and then killed women in his home; sentenced to life imprisonment."
74,Yevgeny Petrov,Russia,1998 to 2003,0,11,"Known as the ""Novouralsk Ripper""; pedophile who kidnapped, raped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment."
75,Rudolf Pleil,West Germany,1946 to 1947,25,10,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25. Committed suicide by hanging in 1958."
76,Milton Johnson,United States,1983,17,10,"Known as ""The Weekend Murderer"" killed up to 17 people. Sentenced to life without parole."
77,Long Island serial killer,United States,1996 to 2011,14,10,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years."
78,Daniel Lee Siebert,United States,1979 to 1986,13,10,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim. Sentenced to death; died from cancer in prison in 2008.
79,Lonnie David Franklin Jr.,United States,1985 to 2007,25,10,"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death."
80,Sergey Cherny,Russia,1999,11,10,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.
81,Bobby Joe Long,United States,1984,10,10,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019."
82,Stewart Wilken,South Africa,1990 to 1997,10,10,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990 to 1997. Sentenced to seven life terms."
83,David Randitsheni,South Africa,2004 to 2008,10,10,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction."
84,Edmund Kemper,United States,1964 to 1973,0,10,"Called ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life."
85,Dennis Rader,United States,1974 to 2004,0,10,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years."
86,Ali Kaya,Turkey,1997 to present,0,10,"Known as ""the baby faced killer""; responsible for 10 murders. Escaped from prison and later recaptured."
87,Robert Wagner,Australia,1992 to 1999,0,10,Secondary ringleader in the Snowtown murders and best friend of John Justin Bunting; sentenced to 10 consecutive life sentences without the possibility of parole.
88,Jeanne Weber,France,1905 to 1908,0,10,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.
89,Henry Louis Wallace,United States,1990 to 1994,0,10,"Confessed to 10 murders in Charlotte, North Carolina. The victims were all women that he knew. Sentenced to death."
90,Angelo Buono Jr.,United States,1977 to 1979,0,10,"Convicted of strangling 10 women. One of the ""Hillside Stranglers"". Died in prison from a heart attack in 2002."
91,Satish,India,1995 to 1998,0,10,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police."
92,Zhou Kehua,China,2004 to 2012,0,10,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt."
93,Kang Ho-sun,South Korea,2006 to 2008,0,10,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law."
94,Eduard Shemyakov,Russia,1996 to 1998,0,10,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment."
95,Oleg Kuznetsov,"Soviet Union,Russia,Ukraine",1991 to 1992,0,10,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment."
96,Stanislav Rogolev,Soviet Union,1980 to 1982,0,10,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984."
97,Volker Eckert,"East Germany,Germany,France,Spain,Czech Republic (suspected),Italy (suspected)",1974 to 2006,19,2,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted."
98,Louis van Schoor,South Africa,1986 to 1989,100,9,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004."
99,Peter Kurten,"German Empire,Germany",1913 to 1930,79,9,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Dusseldorf"" by the contemporary media. Executed by guillotine in 1931."
100,Roger Dale Stafford,United States,1974 to 1978,34,9,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995."
101,Norman Afzal Simons,South Africa,1986 to 1994,22,9,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town. Sentenced to imprisonment for life."
102,Francis Heaulme,France,1984 to 1992,20,9,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went."
103,Joel Rifkin,United States,1989 to 1993,17,9,"Known as ""The Drifter"", killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life."
104,Dagmar Overbye,Denmark,1913 to 1920,15,9,"Murdered between nine and 25 children--of which one was her own--during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft. Died in prison in 1929."
105,Kenneth McDuff,United States,1966 to 1992,14,9,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998."
106,Robert Joseph Silveria Jr.,United States,1981 to 1996,14,9,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more."
107,Richard Biegenwald,United States,1958 to 1983,11,9,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008."
108,Alexander Bychkov,Russia,2009 to 2012,11,9,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.
109,New Bedford Highway Killer,United States,1988 to 1989,11,9,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.
110,Maryvale serial shooter,United States,2015 to 2016,11,9,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017."
111,Viktor Fokin,Russia,1996 to 2000,10,9,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered prostitutes and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony."
112,Timothy Krajcir,United States,2000s,0,9,"Killed nine women across Pennsylvania, Illinois, Kentucky and Missouri (five in Cape Girardeau) in the 1970s and 1980s."
113,Edgecombe County Serial Killer,United States,2000s,10,9,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case."
114,Eric Edgar Cooke,Australia,1958 to 1963,0,8,"Known as the ""Night Caller"" and later the ""Nedlands Monster""; killed at least eight people and attempted to kill at least fourteen in and around Perth between 1959 and 1963; he was last person to be hanged in Western Australia."
115,Joseph Paul Franklin,United States,1977 to 1980,20,3,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.
116,Yoshio Kodaira,"China,Japan",1928 to 1946,0,1,"A serial rapist, Kodaira killed his father-in-law in 1932 and eight to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949."
117,Keith Hunter Jesperson,United States,1990 to 1995,160,8,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation."
118,Rodney Alcala,United States,1971 to 1979,130,8,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher."
119,Kiyotaka Katsuta,Japan,1982 to 1983,22,8,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000."
120,Pierre Chanal,France,1980 to 1988,17,8,Military instructor suspected of killing boys and men in Marne; committed suicide before trial.
121,Christopher Wilder,United States,1984,13,8,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.
122,Axeman of New Orleans,United States,1918 to 1919,12,8,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.
123,Vladimir Retunsky,Russia,1990 to 1996,12,8,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015."
124,Gilbert Paul Jordan,Canada,1965 to 1987,10,8,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006."
125,Bruce McArthur,Canada,2010 to 2017,0,8,"One of the oldest known serial killers, active at 65, he lured men to secret sexual encounters involving drugs and bondage, killed them and dismembered their bodies which he hid in garden planters."
126,Elizabeth Wettlaufer,Canada,2007 to 2018,0,8,"Confessed to murdering eight senior citizens and attempting to murder six others in southwestern Ontario. With a total of fourteen victims either killed or injured by her actions, she is described as one of the worst serial killers in Canadian history."
127,Nikolai Dzhumagaliev,Soviet Union,1980 and earlier,25,7,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.
128,Manuel Delgado Villegas,"Spain,France (claimed),Italy (claimed)",1964 to 1971,48,7,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998."
129,Ershad Sikder,Bangladesh,1991 to 1999,43,7,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convincted on seven counts and executed 2004.
130,Ivan Milat,Australia,1990s,7,7,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.
131,Michael Wayne McGray,"Canada,United States",1980s to 2010s,18,7,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010."
132,Kenneth Erskine,United Kingdom,1986,11,7,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes."
133,David Carpenter,United States,1979 to 1981,11,7,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death."
134,Vladimir Kuzmin,Russia,1997,11,7,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment."
135,Tommy Recco,France,1960 to 1980,10,7,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists."
136,Todd Kohlhepp,United States,2003 to 2016,7,7,"A registered sex offender; Shot up a motorcycle shop in 2003, killing 4; killed 3 more victims in 2015 and 2016; is currently serving 7 life sentences for the crimes."
137,Ohio Prostitute Killer,United States,1981 to 2004,10,7,"Supposedly murdered prostitutes and exotic dancers; his first victim was Marcia King, who was identified in 2018."
